id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
5426,Solana,SOL,solana,902,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve']",,517435259.1015292,599321086.9247353,True,,6,,,,2025-04-26T08:55:00.000Z,150.86264332524703,3884735148.9504795,0.7107,-0.62543245,-2.34390586,8.54840696,9.01797503,9.17110358,-41.20904559,78061650937.74078,2.6335,90415163374.03,,2025-04-26T08:55:00.000Z,,,,,,2025-04-26 11:56:55.870301
3408,USDC,USDC,usd-coin,27395,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,62357545432.284874,62357545432.284874,False,,7,,,,2025-04-26T08:55:00.000Z,0.999896195145164,12046260018.268906,9.1045,-0.00767626,-0.00155016,-0.00442139,-0.00272133,0.00126401,-0.01324827,62351072416.33335,2.1035,62351072416.33,,2025-04-26T08:55:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-04-26 11:56:55.870301
74,Dogecoin,DOGE,dogecoin,1209,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america']",,149010506383.70523,149010506383.70523,True,,8,,,,2025-04-26T08:55:00.000Z,0.18437031447232116,1973789972.7487216,35.9649,-1.31921494,0.79276596,16.13171941,-5.99915868,-10.40592067,-47.85513766,27473113921.643555,0.9268,27473113921.64,,2025-04-26T08:55:00.000Z,,,,,,2025-04-26 11:56:55.870301
2010,Cardano,ADA,cardano,1506,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve']",45000000000.0,35298485421.751076,44995012865.76329,False,,9,,,,2025-04-26T08:55:00.000Z,0.7242616896174071,958953105.730792,-10.3823,-0.69690805,0.44580146,14.81589706,-1.9154915,8.87306738,-27.01352672,25565340692.492847,0.8625,32591776032.78,,2025-04-26T08:55:00.000Z,,,,,,2025-04-26 11:56:55.870301
1958,TRON,TRX,tron,1166,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio']",,94937993288.1454,94937968580.62799,True,,10,,,,2025-04-26T08:55:00.000Z,0.245919278579576,548136936.0626668,-0.1556,-0.1927108,0.96589417,1.47400009,5.14378735,5.55742024,-2.4578871,23347082819.213345,0.7876,23347076743.16,,2025-04-26T08:55:00.000Z,,,,,,2025-04-26 11:56:55.870301
20947,Sui,SUI,sui,624,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm', 'cmc-crypto-yearbook-2024-2025', 'made-in-america', 'world-liberty-financial-portfolio']",10000000000.0,3249982900.4588876,10000000000.0,False,,11,3249982900.4588876,11430117436.664171,,2025-04-26T08:55:00.000Z,3.5169777154982182,2642004181.660786,-20.9932,-1.26026769,-3.45443629,63.65543274,26.27578622,25.98239838,-15.29517145,11430117436.664171,0.3856,35169777154.98,,2025-04-26T08:55:00.000Z,,,,,,2025-04-26 11:56:55.870301
1975,Chainlink,LINK,chainlink,1998,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'polkadot', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'cross-chain', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'gnosis-chain-ecosystem', 'sora-ecosystem', 'hoo-smart-chain-ecosystem', 'milkomeda-ecosystem', 'energi-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,657099970.4527867,1000000000.0,False,,12,,,,2025-04-26T08:55:00.000Z,15.022928116274658,404366200.30856526,1.7214,-0.79608955,-0.66257985,16.6969802,-3.86644511,1.7333677,-41.26987062,9871565621.318417,0.333,15022928116.27,,2025-04-26T08:55:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-04-26 11:56:55.870301
5805,Avalanche,AVAX,avalanche,907,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1', 'made-in-america']",715748719.0,416120606.6076006,452790106.6076006,False,,13,,,,2025-04-26T08:55:00.000Z,22.484711800917168,366822508.3534252,11.8896,-0.23732924,0.31970462,15.15026887,2.49186425,6.09892241,-40.14412905,9356351913.994728,0.3156,16093403668.59,,2025-04-26T08:55:00.000Z,,,,,,2025-04-26 11:56:55.870301
512,Stellar,XLM,stellar,703,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'smart-contracts', 'hashkey-capital-portfolio', '2017-2018-alt-season', 'made-in-america']",50001806812.0,30860955753.281353,50001786892.81785,False,,14,,,,2025-04-26T08:55:00.000Z,0.29206732457224815,238837794.23583162,-12.7259,-1.03596418,2.76094618,18.16078475,-0.16153283,1.69120724,-31.24341807,9013476780.603415,0.3041,14603893939.36,,2025-04-26T08:55:00.000Z,,,,,,2025-04-26 11:56:55.870301
5994,Shiba Inu,SHIB,shiba-inu,959,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel', 'base-ecosystem', 'animal-memes']",589552695333683.0,589250330929905.8,589504437922989.0,False,,15,589552695333683.0,8557877119.541356,,2025-04-26T08:55:00.000Z,1.4515881595109413e-05,326918488.9094164,43.2162,-1.56158837,2.69959041,18.90280231,0.63243843,6.25987273,-27.43055339,8553488033.65755,0.2886,8557877119.54,,2025-04-26T08:55:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2025-04-26 11:56:55.870301
